iter	TotalF1	MultiClass
771	0.9687837422	0.1109512368
772	0.9688946583	0.1107977943
773	0.9688954559	0.1107401533
774	0.9690062261	0.1107023062
775	0.9692277044	0.1106374002
776	0.9692271686	0.1105625378
777	0.9690048046	0.1104266307
778	0.9690048046	0.1103887621
779	0.9691168694	0.1102252628
780	0.9691168694	0.1101814229
781	0.9692272861	0.110146709
782	0.9691168694	0.1101124547
783	0.9691168694	0.1099827313
784	0.9691152213	0.1099135142
785	0.9691162479	0.1097795624
786	0.9692277044	0.1096948625
787	0.9692277044	0.1096565872
788	0.9692277044	0.109617853
789	0.9692277044	0.109586092
790	0.9692277044	0.1094738024
791	0.9693387626	0.1094276525
792	0.9693389002	0.1093695813
793	0.969227443	0.1093243568
794	0.969227443	0.1091965507
795	0.9692272861	0.109117199
796	0.9692272861	0.1090609196
797	0.9693387626	0.1090339024
798	0.969449816	0.1089916406
799	0.969449816	0.1089467236
800	0.9694499336	0.1089017086
801	0.9693387626	0.1087172635
802	0.9694499336	0.1086419121
803	0.9694499336	0.1085437244
804	0.9694499336	0.108522844
805	0.9696720836	0.108479615
806	0.9695609623	0.1083815236
807	0.9696720836	0.1083060301
808	0.9696720836	0.108244771
809	0.9696720836	0.1080968911
810	0.9696720836	0.1080490295
811	0.9696720836	0.1079982338
812	0.9696720836	0.1079403401
813	0.9696720836	0.1078626743
814	0.9696720836	0.1077266939
815	0.9696720836	0.1075566444
816	0.9696720836	0.1075040225
817	0.9697831082	0.1074519319
818	0.9697831082	0.1073614955
819	0.9697831082	0.1073341338
820	0.9698938037	0.1072769333
821	0.9698938037	0.1072227825
822	0.9698938037	0.1071514227
823	0.9698938037	0.1070647937
824	0.9701152329	0.107024741
825	0.9701152329	0.1069761522
826	0.9701152329	0.1068985726
827	0.9701152329	0.1068040478
828	0.9701152329	0.1067685147
829	0.9701152329	0.106654767
830	0.9701152329	0.1064611835
831	0.9701152329	0.106419339
832	0.9701152329	0.1063256908
833	0.9701152329	0.1062319541
834	0.9701152329	0.106180134
835	0.9703368107	0.1060835439
836	0.9701152329	0.1059647489
837	0.9701152329	0.1058845725
838	0.9702263547	0.1057387351
839	0.970337823	0.1056582777
840	0.9704487255	0.1055403636
841	0.9706712531	0.1054683178
842	0.9706712531	0.1054143091
843	0.9706712531	0.1053611198
844	0.9706712531	0.1052992418
845	0.9706712531	0.1052536524
846	0.9706712531	0.105202805
847	0.9706712531	0.1051426765
848	0.9706712531	0.1050749758
849	0.9706712531	0.1049769677
850	0.9706712531	0.104883796
851	0.9707827348	0.1047554968
852	0.9707827348	0.1047202856
853	0.9706718311	0.1046645315
854	0.9707827348	0.1045825021
855	0.9707827348	0.1044664314
856	0.9707827348	0.1044320426
857	0.9708935809	0.1043201153
858	0.9707827348	0.1042590245
859	0.9710044105	0.1041870429
860	0.9710044105	0.104145272
861	0.9710044105	0.1040842821
862	0.9710044105	0.1039857061
863	0.9711164669	0.1039516243
864	0.9711164669	0.1039055238
865	0.9710044105	0.1038711756
866	0.9711164669	0.103850049
867	0.9710044105	0.103796725
868	0.971227306	0.1037392504
869	0.9711152274	0.1035954579
870	0.9711152274	0.1035649061
871	0.9711152274	0.103514579
872	0.9711152274	0.1034446214
873	0.9711152274	0.1033775588
874	0.9711152274	0.1032759766
875	0.9711152274	0.1032286632
876	0.971227306	0.1031867315
877	0.9713383595	0.1031241488
878	0.9713383595	0.1030198984
